Professor Name,Fall,Spring
"Adalsteinsson, David",1,2
"assani, idris",2,1
"Belkale, Prakash",2,1
"Camassa, Roberto",1,2
"Canzani, Yaiza",0,2
"Cherednik, Ivan",1,2
"Christianson, Hans",0,2
"Forest, Greg",1,1
"Green, Linda",3,2
"Griffith, Boyce",2,1
"Hong, Jiuzu",1,2
"Huang, Jingfang",2,1
"Jones, Chris",1,1
"Kumar, Shrawan",1,2
"Marzuoloa, Jeremy",1,0
"McCombs, Mark",3,3
"McLaughlin, Buffie",2,2
"McLaughlin, Rich",1,1
"Metcalfe, Jason",2,1
"Miller, Laura",2,0
"Mitran, Sorin",2,1
"Mucha, Peter",0,1
"Newhall, Katie",2,1
"Proctor, Bob",2,0
"Rimanyi, Richard",2,1
"Rodriguez, Nancy",2,1
"Rose, David",0,2
"Rozanski, Lev",1,2
"Sawon, Justin",2,0
"Taylor, Michael",2,1
"Thomas, Miranda",2,2
"Thompson, Daniel",2,1
"Varchenko, Alexander",2,1
"Williams, Mark",2,1